Index,TagID_Hex,PRI,TagID_Dec
709,369C,5,13980
710,369E,5,13982
711,36A0,5,13984
712,36B0,5,14000
713,36B8,5,14008
714,36BC,5,14012
715,36BE,5,14014
716,36C2,5,14018
717,36C4,5,14020
718,36C6,5,14022
719,36C8,5,14024
720,36CC,5,14028
721,36D0,5,14032
722,36D8,5,14040
723,36DA,5,14042
724,36DC,5,14044
725,36DE,5,14046
726,36E2,5,14050
727,36E4,5,14052
728,36E6,5,14054
729,36E8,5,14056
730,36EC,5,14060
731,36F2,5,14066
732,36F4,5,14068
733,36F6,5,14070
734,370A,5,14090
735,3712,5,14098
736,3714,5,14100
737,371A,5,14106
738,3722,5,14114
739,3724,5,14116
740,3726,5,14118
741,3728,5,14120
742,372C,5,14124
743,372E,5,14126
744,3732,5,14130
745,3734,5,14132
746,3736,5,14134
747,373A,5,14138
748,3742,5,14146
749,3744,5,14148
750,3746,5,14150
751,3748,5,14152
752,374C,5,14156
753,374E,5,14158
754,3750,5,14160
755,3758,5,14168
756,375C,5,14172
757,375E,5,14174
758,3762,5,14178
759,3764,5,14180
760,3766,5,14182
761,3768,5,14184
762,376C,5,14188
763,376E,5,14190
764,3772,5,14194
765,3774,5,14196
766,3776,5,14198
767,377A,5,14202
768,3792,5,14226
769,3794,5,14228
770,3796,5,14230
771,379A,5,14234
772,37A2,5,14242
773,37A4,5,14244
774,37A6,5,14246
775,37A8,5,14248
776,37AC,5,14252
777,37AE,5,14254
778,37B2,5,14258
779,37B4,5,14260
780,37B6,5,14262
781,37BA,5,14266
782,37CA,5,14282
783,37D2,5,14290
784,37D4,5,14292
785,37D6,5,14294
786,37DA,5,14298
787,37EA,5,14314
788,382A,5,14378
789,384A,5,14410
790,3852,5,14418
791,3854,5,14420
792,3856,5,14422
793,385A,5,14426
794,386A,5,14442
795,388A,5,14474
796,3892,5,14482
797,38A2,5,14498
798,38A6,5,14502
799,38CA,5,14538
800,38DA,5,14554
801,38EC,5,14572
802,3922,5,14626
803,398A,5,14730
804,3992,5,14738
805,39DA,5,14810
806,3A14,5,14868
807,3A4C,5,14924
808,3A98,5,15000
809,3AA0,5,15008
