Index,TagID,PRI,TagID_Dec
254,BD9A,5,-16998
255,BDA2,5,-16990
256,BDA4,5,-16988
257,BDA5,5,-16987
258,BDA6,5,-16986
259,BDA8,5,-16984
260,BDA9,5,-16983
261,BDAB,5,-16981
262,BDAC,5,-16980
263,BDAD,5,-16979
264,BDAE,5,-16978
265,BDB2,5,-16974
266,BDB4,5,-16972
267,BDB5,5,-16971
268,BDB6,5,-16970
269,BDBA,5,-16966
270,BDCA,5,-16950
271,BDD2,5,-16942
272,BDD4,5,-16940
273,BDDA,5,-16934
274,BDEA,5,-16918
275,BE2A,5,-16854
276,BE4A,5,-16822
277,BE52,5,-16814
278,BE55,5,-16811
279,BE56,5,-16810
280,BE5A,5,-16806
281,BE6A,5,-16790
282,BE92,5,-16750
283,BE94,5,-16748
284,BE96,5,-16746
285,BE9A,5,-16742
286,BEA2,5,-16734
287,BEA4,5,-16732
288,BEA5,5,-16731
289,BEA6,5,-16730
290,BEA8,5,-16728
291,BEA9,5,-16727
292,BEAB,5,-16725
293,BEAC,5,-16724
294,BEAD,5,-16723
295,BEAE,5,-16722
296,BEB2,5,-16718
297,BEB4,5,-16716
298,BEB5,5,-16715
299,BEB6,5,-16714
300,BEBA,5,-16710
301,BECA,5,-16694
302,BED2,5,-16686
303,BED4,5,-16684
304,BED5,5,-16683
305,BED6,5,-16682
306,BEDA,5,-16678
307,BEEA,5,-16662
308,BF2A,5,-16598
309,BF4A,5,-16566
310,BF52,5,-16558
311,BF54,5,-16556
312,BF55,5,-16555
313,BF56,5,-16554
314,BF5A,5,-16550
315,BF6A,5,-16534
316,BFAA,5,-16470
317,C0AA,5,-16214
318,C12A,5,-16086
319,C14A,5,-16054
320,C152,5,-16046
321,C154,5,-16044
322,C155,5,-16043
323,C156,5,-16042
324,C15A,5,-16038
325,C16A,5,-16022
326,C22A,5,-15830
327,C24A,5,-15798
328,C252,5,-15790
329,C254,5,-15788
330,C255,5,-15787
331,C256,5,-15786
332,C25A,5,-15782
333,C26A,5,-15766
334,C28A,5,-15734
335,C294,5,-15724
336,C295,5,-15723
337,C296,5,-15722
338,C2A4,5,-15708
339,C2A5,5,-15707
340,C2A6,5,-15706
341,C2A8,5,-15704
342,C2A9,5,-15703
343,C2AA,5,-15702
344,C2AB,5,-15701
345,C2AC,5,-15700
346,C2AD,5,-15699
347,C2B4,5,-15692
348,C2B5,5,-15691
349,C2B6,5,-15690
350,C2BA,5,-15686
351,C2CA,5,-15670
352,C2D2,5,-15662
353,C2D4,5,-15660
354,C2D5,5,-15659
355,C2D6,5,-15658
356,C2DA,5,-15654
357,C2EA,5,-15638
358,C32A,5,-15574
359,C34A,5,-15542
360,C352,5,-15534
361,C354,5,-15532
362,C35A,5,-15526
363,C36A,5,-15510
364,C3AA,5,-15446
365,C42A,5,-15318
366,C44A,5,-15286
367,C452,5,-15278
368,C454,5,-15276
369,C455,5,-15275
370,C456,5,-15274
371,C45A,5,-15270
372,C46A,5,-15254
373,C48A,5,-15222
374,C492,5,-15214
375,C494,5,-15212
376,C496,5,-15210
377,C49A,5,-15206
378,C4A2,5,-15198
379,C4A4,5,-15196
380,C4A5,5,-15195
381,C4A6,5,-15194
382,C4A9,5,-15191
383,C4AA,5,-15190
384,C4AD,5,-15187
385,C4AE,5,-15186
386,C4B2,5,-15182
387,C4B4,5,-15180
388,C4B6,5,-15178
389,C4BA,5,-15174
390,C4CA,5,-15158
391,C4D2,5,-15150
392,C4D4,5,-15148
393,C4D5,5,-15147
394,C4D6,5,-15146
395,C4DA,5,-15142
396,C4EA,5,-15126
397,C50A,5,-15094
398,C512,5,-15086
399,C514,5,-15084
400,C515,5,-15083
401,C522,5,-15070
402,C524,5,-15068
403,C526,5,-15066
404,C528,5,-15064
405,C52B,5,-15061
406,C52C,5,-15060
407,C52D,5,-15059
408,C52E,5,-15058
409,C532,5,-15054
410,C534,5,-15052
411,C535,5,-15051
412,C536,5,-15050
413,C53A,5,-15046
414,C542,5,-15038
415,C544,5,-15036
416,C545,5,-15035
417,C548,5,-15032
418,C549,5,-15031
419,C54B,5,-15029
420,C54C,5,-15028
421,C54D,5,-15027
422,C550,5,-15024
423,C551,5,-15023
424,C553,5,-15021
425,C557,5,-15017
426,C558,5,-15016
427,C55B,5,-15013
428,C55C,5,-15012
